name,use_manifold,mixed_noise,tangent_fraction,normal_fraction,num_timesteps,num_epochs,batch_size,lr,num_eval_samples,max_true_eval,max_gen_eval,u_range,v_range,grid_n_u,grid_n_v,seed,device,chamfer_mean,swiss_dist_mean,chamfer_std,swiss_dist_std
embed_dim_5_tangent_ratio_1.20_epochs20,True,True,6.0,5.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,4.459791135787964,3.6193145513534546,0.5706389664672484,0.5302049827258489
embed_dim_5_tangent_ratio_1.40_epochs20,True,True,7.0,5.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,4.954981899261474,4.096620011329651,0.48545302827129044,0.46343875627052306
embed_dim_5_tangent_ratio_1.60_epochs20,True,True,8.0,5.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,5.436402416229248,4.54252405166626,0.31193782923950175,0.2913746357673565
embed_dim_5_tangent_ratio_1.80_epochs20,True,True,9.0,5.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,5.4318023204803465,4.506710052490234,0.255405562174019,0.27180121761393455
embed_dim_5_tangent_ratio_2.00_epochs20,True,True,10.0,5.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,5.966588306427002,5.003557109832764,0.34012411310068885,0.30767244906335744
embed_dim_6_baseline_full_normal_epochs20,True,True,0.0,1.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,47337.303125,47305.68203125,2806.407177323828,2803.3808587931167
embed_dim_6_baseline_full_tangent_epochs20,True,True,1.0,0.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,158098.2578125,157248.5296875,6853.606140237451,6925.106254284294
embed_dim_6_tangent_ratio_0.20_epochs20,True,True,1.0,5.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,1325.8812438964844,1320.675555419922,554.143617781026,553.8227931363961
embed_dim_6_tangent_ratio_0.40_epochs20,True,True,2.0,5.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,8.02941792011261,6.543889808654785,3.1593371237147063,3.0214414541568804
embed_dim_6_tangent_ratio_0.60_epochs20,True,True,3.0,5.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,3.3573293924331664,2.388273334503174,0.27793562672203315,0.2876544965935269
